name,id
Hefin David,a042c8cb-a212-4615-ba9f-eccb9eedc4d4
Hefin David MS,a042c8cb-a212-4615-ba9f-eccb9eedc4d4
Heledd Fychan,8a48ab6c-131d-4147-99fb-c2126cff6dcc
Heledd Fychan MS,8a48ab6c-131d-4147-99fb-c2126cff6dcc
Helen Jones,37d64651-0bbe-4c31-8ad6-4252191c4e73
Helen Mary Jones,37d64651-0bbe-4c31-8ad6-4252191c4e73
Huw Irranca-Davies,e10df87f-fe38-4e82-aaed-2bda6fa0da65
Huw Irranca-Davies MS,e10df87f-fe38-4e82-aaed-2bda6fa0da65
Huw Lewis,92600914-3867-4f97-9b79-efe99292e882
Ieuan Wyn Jones,52d4caab-a7c7-418a-856a-8b4caa349a96
Irene James,5b4ef980-1534-4f75-b02f-8990fb6d8dc3
Jack Sargeant,d102ca51-5d5a-47dd-b12f-9c2a3005076e
Jack Sargeant MS,d102ca51-5d5a-47dd-b12f-9c2a3005076e
James Evans,ce5be98c-f90c-46c8-acd6-b315d1673585
James Evans MS,ce5be98c-f90c-46c8-acd6-b315d1673585
Jane Davidson,ffa299a9-a58a-4e4f-a4bb-15556e482e60
Jane Dodds,e36c1a77-3a28-429b-baf0-01d81f6787f8
Jane Dodds MS,e36c1a77-3a28-429b-baf0-01d81f6787f8
Jane Hutt,c51e3561-cacc-4d04-ac0b-49b4037e4969
Jane Hutt MS,c51e3561-cacc-4d04-ac0b-49b4037e4969
Jane Huttová,c51e3561-cacc-4d04-ac0b-49b4037e4969
Janet Davies,16101197-8c77-47be-96fc-9532eefbdf13
Janet Finch-Saunders,1a0973b2-e9e8-4b6c-91a7-82099578d606
Janet Finch-Saunders MS,1a0973b2-e9e8-4b6c-91a7-82099578d606
Janet Finchová-Saundersová,1a0973b2-e9e8-4b6c-91a7-82099578d606
Janet Haworth,84ccdb94-326a-4676-8a42-7139065fb80e
Janet Ryder,41b814c9-495d-49cc-9ae0-8a166382b1a3
Janice Gregory,adc63ba5-18f1-4b28-b8ef-5a7fb7a6b406
Jayne Bryant,d6560d36-c525-4e52-a85b-1035b7eab92b
Jayne Bryant MS,d6560d36-c525-4e52-a85b-1035b7eab92b
Jeff Cuthbert,4bb53c5a-0197-44ab-98ee-296b2bff3868
